Country,InternetSpeeds_MeanDownloadSpeed_Mbps_2024,InternetSpeeds_MedianFixedBroadbandDownloadSpeed_Mbps_2024,InternetSpeeds_MedianMobileDownloadSpeed_Mbps_2024
India,65.51,63.79,96.38
China,37.56,189.49,108.37
United States of America,161.97,242.27,103.26
Indonesia,19.54,32.06,29.4
Pakistan,7.85,15.52,19.59
Nigeria,27.62,21.59,20.19
Brazil,92.83,170.42,73.08
Bangladesh,9.22,48.14,27.76
Russia,67.43,88.08,25.44
Ethiopia,4.45,9.48,
Mexico,44.73,79.31,32.55
Japan,139.53,197.78,47.43
Egypt,12.64,76.48,25.65
Philippines,52.07,94.43,33.66
Dem. Rep. Congo,12.81,38.03,
Vietnam,45.92,151.69,56.95
Iran,9.72,14.81,36.7
Turkey,32.89,42.9,46.37
Germany,87.77,90.63,56.69
Thailand,67.75,232.15,54.78
United Kingdom,110.99,108.61,54.62
Tanzania,13.26,18.61,22.85
France,176.97,223.72,103.08
South Africa,42.42,47.35,51.96
Italy,72.45,78.42,53.48
Kenya,13.69,11.59,29.49
Myanmar,13.28,21.56,32.16
Colombia,53.87,144.98,18.18
South Korea,172.53,157.63,141.23
Sudan,4.02,,
Uganda,13.59,17.09,
Spain,148.63,205.17,45.74
Algeria,12.35,14.26,24.9
Iraq,10.39,33.35,32.93
Argentina,59.7,88.03,34.47
Afghanistan,3.11,3.63,8.48
Yemen,2.99,7.54,7.91
Canada,152.25,188.2,74.87
Poland,104.36,154.51,52.62
Morocco,19.61,29.57,40.89
Angola,12.79,18.58,
Ukraine,49.39,81.84,20.07
Uzbekistan,21.21,69.37,36.19
Malaysia,82.38,131.03,106.94
Mozambique,14.15,16.48,
Ghana,16.59,37.8,
Peru,63.28,166.89,21.73
Saudi Arabia,37.65,112.24,122.28
Madagascar,22.57,27.41,
Côte d'Ivoire,17.67,62.04,
Nepal,25.97,71.62,
Cameroon,7.97,9.94,
Venezuela,23.33,59.81,13.67
Niger,4.97,,
Australia,77.99,71.87,97.86
Syria,2.8,3.65,12.79
Mali,7.66,,
Burkina Faso,15.91,45.8,
Taiwan,136.58,198.28,85.93
Sri Lanka,18.45,22.94,18.96
Malawi,13.14,,
Zambia,8.99,18.2,
Kazakhstan,13.92,58.81,51.25
Chad,10.47,,
Chile,100.66,265.62,41.44
Romania,105.46,200.94,63.12
Somalia,6.64,16.76,
Senegal,12.16,21.65,
Guatemala,37.34,52.32,39.73
Netherlands,188.49,186.84,133.44
Ecuador,45.54,93.79,28.76
Cambodia,25.54,45.52,28.7
Zimbabwe,16.77,21.81,
Guinea,8.55,9.35,
Benin,15.54,22.48,
Rwanda,32.69,30.5,
Burundi,6.07,,
Bolivia,20.14,42.45,11.26
Tunisia,11.18,10.58,26.53
S. Sudan,7.47,,
Haiti,13.21,41.57,
Belgium,124.78,100.82,81.99
Jordan,42.46,150.88,28.67
Dominican Republic,48.05,36.1,32.99
United Arab Emirates,99.26,297.62,398.51
Cuba,4.49,,
Honduras,21.77,50.52,32.59
Czechia,74.41,69.55,85.41
Sweden,156.42,138.62,97.24
Tajikistan,3.1,29.26,
Papua New Guinea,15.52,,
Portugal,116.91,172.13,83.64
Azerbaijan,13.85,45.47,55.14
Greece,72.54,47.03,75.05
Hungary,112.15,174.95,54.32
Togo,10.54,30.68,
Israel,153.61,206.42,42.77
Austria,64.96,92.86,83.01
Belarus,45.81,61.05,11.98
Switzerland,161.88,203.5,93.66
Sierra Leone,7.24,24.72,
Laos,25.14,38.8,28.85
Turkmenistan,2.72,3.53,
Hong Kong,138.18,280,57.68
Libya,8.37,11.1,15.1
Kyrgyzstan,11.18,65.44,42.82
Paraguay,45.1,92.67,19.58
Nicaragua,33.85,59.51,21.49
Bulgaria,67.47,77.6,117.64
Serbia,86.36,82.28,56.48
El Salvador,35.9,55.77,32.63
Congo,16.25,35.94,
Denmark,210.51,219.23,130.05
Singapore,134.43,297.57,114.3
Lebanon,9.67,17.38,35.45
Finland,95.13,114.33,93.59
Liberia,12.45,8.9,
Norway,140.56,129,128.77
Slovakia,145.19,81.08,54.82
Palestine,25.5,68.16,
Central African Rep.,4.08,,
Oman,57.85,72.64,82.81
Ireland,102.96,133.34,41.12
New Zealand,124.01,178.8,78.64
Mauritania,10.94,19.3,
Costa Rica,53.39,96.65,37.4
Kuwait,58.89,188.29,239.83
Panama,62.43,151.94,21.79
Croatia,,50.69,76.24
Georgia,20.83,34.4,36.9
Eritrea,4.61,,
Mongolia,19.14,71.45,
Uruguay,156.42,156.02,
Puerto Rico,118.54,,
Bosnia and Herz.,45.51,30.74,20.56
Qatar,101.72,173.33,344.34
Moldova,73.84,120.73,49.71
Namibia,11.48,14.73,27.94
Armenia,26.78,56.54,32.67
Lithuania,110.74,119.59,89.71
Jamaica,62.13,76.44,
Albania,29.87,62.71,50.82
Gambia,5.33,,
Gabon,14.85,41.42,
Botswana,29.52,8.53,
Lesotho,20.71,,
Guinea-Bissau,5.63,,
Slovenia,90.4,92.98,69.65
Eq. Guinea,5.27,,
Latvia,95.5,92.62,81.42
Macedonia,79.09,42.26,94.33
Bahrain,67.16,84.66,113.07
Trinidad and Tobago,66.43,119.78,
Timor-Leste,6,,
Estonia,113.1,80.14,88.6
Cyprus,51.53,86.1,73.59
Mauritius,31.12,51.61,
Eswatini,37.23,,
Djibouti,7.21,17.08,
Fiji,13.28,26.36,
Reunion,63.29,,
Comoros,8.38,,
Guyana,28.57,90.78,
Solomon Islands,11.54,,
Bhutan,21.24,,
Macau,234.74,162.24,
Luxembourg,76.64,142.05,114.42
Montenegro,73.93,61.13,43.68
Suriname,13.79,12.09,50.02
Malta,141.07,116.51,
Maldives,27.26,13.27,
Cape Verde,11.44,10.7,
Brunei,62.61,77.75,103.08
Belize,41.72,44.74,
Bahamas,72.34,63.11,
Iceland,279.55,213.98,
Guadeloupe,55.28,,
Martinique,48.54,,
Vanuatu,7.67,,
Mayotte,14.5,,
French Guiana,42.68,,
New Caledonia,50.61,,
Barbados,97.27,99.09,
French Polynesia,14.15,,
Sao Tome and Principe,17.45,,
Samoa,17.82,,
Curacao,49.61,,
