period,incidents_NSW,incidents_VIC,incidents_QLD,incidents_WA,incidents_SA,incidents_TAS,incidents_ACT,NT,incident_rate_NSW,incident_rate_VIC,incident_rate_QLD,incident_rate_WA,incident_rate_SA,incident_rate_TAS,incident_rate_ACT,incident_rate_NT,cleared_by_charge,offender_died_by_suicide,cleared_otherwise,cleared,not_cleared,murder,manslaughter,infanticide,domestic,acquaintance,stranger,relationship_not_stated,domestic_rate_per_100K,acquaintance_rate_per_100K,stranger_rate_per_100K,count_female,count_male,intimate_partner,filicide,parricide,sibilicide,other_family,firearm,knife_or_other_sharp_instrument,blunt_instrument,hands_and_feet,other,not_state_or_unknown
1989-90,95,74,68,25,20,5,0,20,1.63,1.69,2.35,1.55,1.40,1.08,0.00,12.22,252,25,1,278,29,281,26,0,116,97,29,36,0.68,0.57,0.17,60,22,82,16,7,4,7,76,99,8,107,7,0
1990-91,119,72,56,22,22,5,0,28,2.02,1.63,1.89,1.34,1.52,1.07,0.00,16.92,261,23,2,286,38,302,22,0,123,124,18,21,0.71,0.72,0.1,72,12,84,16,9,5,9,68,107,37,93,2,0
1991-92,106,54,68,29,27,9,2,18,1.78,1.21,2.25,1.75,1.86,1.91,0.68,10.68,252,19,0,271,42,279,34,0,104,125,29,13,0.6,0.72,0.17,49,17,66,16,9,5,8,63,89,39,93,7,5
1992-93,112,59,73,34,30,6,1,17,1.87,1.32,2.36,2.03,2.06,1.27,0.33,9.90,277,28,0,305,27,290,42,0,126,131,47,1,0.71,0.74,0.27,65,17,82,17,12,4,11,84,102,37,85,4,0
1993-94,118,48,62,36,29,5,2,23,1.95,1.07,1.96,2.11,1.98,1.06,0.66,13.15,290,14,0,304,19,285,38,0,134,115,53,2,0.76,0.64,0.3,54,25,79,24,11,7,13,60,117,44,83,5,2
1994-95,90,74,60,46,29,5,4,19,1.47,1.65,1.82,2.65,1.98,1.05,1.31,11.14,279,26,0,305,22,290,37,0,152,107,43,3,0.84,0.59,0.24,69,24,93,19,15,10,15,80,106,41,76,11,0
1995-96,110,52,66,34,13,6,1,21,1.78,1.15,2.00,1.87,0.88,1.26,0.32,11.92,247,22,0,269,34,281,22,0,116,112,38,3,0.64,0.61,0.2,49,19,68,20,11,4,13,67,99,35,69,4,0
1996-97,100,51,80,23,22,3,2,18,1.60,1.12,2.38,1.28,1.49,0.63,0.64,9.49,243,21,2,266,33,271,28,0,110,124,32,0,0.6,0.67,0.16,48,10,58,16,11,10,15,65,104,37,62,19,4
1997-98,107,42,74,34,27,4,1,11,1.70,0.91,2.17,1.86,1.82,0.84,0.32,5.70,237,20,0,257,43,279,21,0,117,111,29,0,0.62,0.6,0.15,48,22,70,18,18,3,8,63,107,23,70,33,2
1998-99,112,54,64,33,38,7,2,18,1.76,1.16,1.85,1.78,2.55,1.48,0.64,9.18,267,14,0,281,47,315,12,1,113,130,37,1,0.59,0.69,0.18,52,16,68,21,11,3,10,59,107,37,89,28,0
1999-00,106,62,61,34,23,9,3,7,1.64,1.32,1.71,1.86,1.54,1.90,0.95,3.51,253,13,1,267,38,277,28,0,128,113,24,2,0.66,0.59,0.13,52,18,70,25,13,8,12,59,96,30,81,30,0
2000-01,116,55,65,28,21,8,0,17,1.78,1.15,1.82,1.47,1.40,1.69,0.00,8.43,247,19,3,269,41,277,33,0,112,122,33,2,0.58,0.62,0.17,63,11,74,14,13,5,6,65,93,36,82,26,0
2001-02,97,82,73,31,31,9,3,24,1.47,1.70,2.00,1.66,2.05,1.90,0.92,11.87,294,18,1,313,37,315,35,0,159,111,39,4,0.81,0.57,0.19,75,18,93,28,15,11,12,49,130,42,83,33,0
2002-03,99,58,62,32,22,6,3,17,1.50,1.19,1.66,1.64,1.45,1.25,0.92,8.43,249,20,0,269,30,265,33,0,126,116,23,4,0.63,0.58,0.12,57,19,76,19,13,3,15,44,93,42,71,39,0
2003-04,81,69,58,36,28,3,3,11,1.22,1.40,1.51,1.82,1.83,0.62,0.91,5.43,247,15,1,263,26,257,29,3,116,100,43,4,0.57,0.51,0.21,50,17,67,20,17,6,6,49,92,36,70,29,5
