Station number,Station name,Region,Rainfall,Latitude,Longitude,Elevation
9240,BICKLEY,WA,78.2,-32.01,116.14,384
9030,MUNDARING,WA,70.4,-31.90,116.16,300
109501,MOUNT WILLIAM,WA,68.8,-32.94,116.02,484
9023,JARRAHDALE,WA,64.6,-32.33,116.08,240
9111,KARNET,WA,58.7,-32.44,116.08,286
9260,MOUNT SOLUS,WA,58.4,-32.47,116.21,574
9936,HUNTLY,WA,56.4,-32.62,116.06,320
9015,KARRAGULLEN NORTH,WA,55.2,-32.09,116.13,330
9066,GIDGEGANNUP,WA,55.0,-31.79,116.20,290
9923,WORSLEY DOWNS,WA,55.0,-33.32,115.99,240
91259,LUNCHEON HILL (FORESTRY),TAS,53.4,-41.15,145.15,344
9710,BUREKUP,WA,51.6,-33.31,115.82,20
9113,ROLEYSTONE,WA,50.8,-32.11,116.08,250
9538,DWELLINGUP,WA,50.8,-32.71,116.06,267
9912,FERGUSON VALLEY,WA,47.4,-33.45,115.85,120
9007,CHIDLOW,WA,46.4,-31.86,116.27,300
9182,MAIDA VALE,WA,45.4,-31.97,116.02,100
9982,HENTY BROOK,WA,44.8,-33.39,115.85,240
9994,COLLIE EAST,WA,44.2,-33.36,116.17,200
9998,NORTH WALPOLE,WA,44.0,-34.95,116.72,73
97085,MOUNT READ,TAS,44.0,-41.84,145.54,1120
9271,BUNGENDORE,WA,43.6,-32.19,116.06,200
9628,COLLIE,WA,43.0,-33.36,116.15,204
9968,SHANNON,WA,42.8,-34.57,116.34,210
9275,MUCHEA,WA,42.6,-31.59,115.97,60
9784,KIMBERLEY,WA,42.3,-34.93,117.16,80
13024,PRENTI DOWNS,WA,41.0,-26.52,122.81,500
40695,PALMWOODS,QLD,40.2,-26.71,152.93,40
9805,WALPOLE FORESTRY,WA,40.1,-34.98,116.73,15
9281,MILLENDON (SWAN VALLEY),WA,39.8,-31.81,116.02,16
9619,WILGARRUP,WA,39.4,-34.15,116.20,240
9592,PEMBERTON,WA,39.0,-34.45,116.04,174
9053,PEARCE RAAF,WA,38.2,-31.67,116.02,40
9769,CULFORD,WA,38.0,-32.57,116.44,335
9277,LAKE CHITTERING,WA,37.0,-31.43,116.09,130
10310,WERRIBEE,WA,36.2,-31.77,116.33,295
9178,GINGIN AERO,WA,35.8,-31.46,115.86,73
9534,DONNYBROOK,WA,35.7,-33.57,115.82,63
9989,THOMSON BROOK,WA,35.4,-33.65,115.96,260
109507,FERGUSON VALLEY ALERT,WA,35.4,-33.44,115.85,160
9021,PERTH AIRPORT,WA,35.2,-31.93,115.98,15
9039,SERPENTINE,WA,34.8,-32.35,116.01,120
9172,JANDAKOT AERO,WA,34.8,-32.10,115.88,30
9268,JULIMAR FOREST,WA,34.8,-31.46,116.37,342
9573,MANJIMUP,WA,34.8,-34.25,116.15,287
9243,WOODRIDGE ESTATE,WA,34.5,-31.34,115.57,30
